iter	Passed	Remaining
404	9415	13832
405	9437	13807
406	9462	13787
407	9489	13769
408	9516	13750
409	9535	13722
410	9561	13703
411	9584	13678
412	9612	13662
413	9634	13637
414	9657	13613
415	9677	13585
416	9705	13569
417	9728	13545
418	9750	13519
419	9772	13496
420	9792	13467
421	9814	13442
422	9833	13413
423	9854	13387
424	9873	13358
425	9902	13342
426	9924	13317
427	9945	13291
428	9970	13270
429	9994	13248
430	10021	13230
431	10043	13205
432	10068	13183
433	10092	13162
434	10117	13141
435	10139	13116
436	10165	13097
437	10189	13074
438	10220	13060
439	10245	13040
440	10269	13017
441	10294	12995
442	10316	12971
443	10348	12958
444	10369	12933
445	10395	12913
446	10421	12892
447	10453	12879
448	10475	12855
449	10500	12834
450	10523	12810
451	10553	12794
452	10577	12771
453	10602	12750
454	10626	12728
455	10651	12707
456	10671	12679
457	10695	12656
458	10718	12632
459	10740	12608
460	10763	12585
461	10788	12563
462	10808	12536
463	10831	12511
464	10855	12489
465	10874	12461
466	10899	12440
467	10921	12415
468	10946	12393
469	10969	12369
470	10992	12346
471	11016	12323
472	11036	12296
473	11059	12273
474	11084	12251
475	11106	12226
476	11126	12199
477	11149	12176
478	11181	12162
479	11203	12137
480	11228	12115
481	11253	12093
482	11277	12071
483	11299	12046
484	11322	12022
485	11344	11998
486	11365	11972
487	11391	11951
488	11414	11927
489	11435	11901
490	11458	11878
491	11482	11855
492	11504	11831
493	11526	11806
494	11548	11781
495	11566	11753
496	11588	11728
497	11610	11703
498	11628	11675
499	11647	11647
500	11665	11618
501	11684	11591
502	11706	11567
503	11730	11544
504	11753	11520
505	11776	11497
506	11798	11473
507	11821	11449
508	11843	11424
509	11867	11401
510	11888	11377
511	11915	11356
512	11939	11334
513	11963	11311
514	11987	11289
515	12009	11264
516	12033	11242
517	12056	11218
518	12078	11193
519	12100	11169
520	12125	11148
521	12152	11128
522	12174	11104
523	12196	11079
524	12221	11057
525	12248	11037
526	12274	11016
527	12296	10992
528	12317	10967
529	12345	10947
530	12370	10926
531	12392	10901
532	12415	10878
533	12437	10853
534	12462	10831
535	12485	10808
536	12507	10783
537	12527	10757
538	12556	10739
539	12578	10715
540	12600	10690
541	12621	10665
542	12646	10643
543	12668	10619
544	12691	10595
545	12717	10574
546	12739	10550
547	12763	10527
548	12783	10501
549	12806	10477
550	12834	10458
551	12859	10436
552	12880	10411
553	12906	10390
554	12928	10366
555	12955	10345
556	12981	10324
557	13006	10302
558	13029	10279
559	13055	10257
560	13083	10238
561	13103	10212
562	13122	10185
563	13144	10161
564	13163	10134
565	13188	10112
566	13206	10085
567	13225	10059
568	13248	10035
569	13270	10011
570	13293	9987
571	13317	9964
572	13338	9939
573	13360	9915
574	13385	9893
575	13411	9872
576	13437	9851
577	13460	9827
578	13481	9802
579	13508	9781
580	13531	9758
581	13556	9736
582	13577	9711
583	13597	9686
584	13620	9662
585	13641	9637
586	13661	9611
587	13679	9585
588	13702	9561
589	13727	9539
590	13751	9516
591	13776	9494
592	13799	9470
593	13826	9450
