iter	MultiClassOneVsAll
190	0.2782510083
191	0.2782065645
192	0.2781431179
193	0.2780608455
194	0.2780100289
195	0.2779412816
196	0.2778888257
197	0.2778325832
198	0.2777752969
199	0.2776465201
200	0.277580956
201	0.2775092195
202	0.2774317366
203	0.2773714282
204	0.2773004733
205	0.2772378049
206	0.2771436669
207	0.277055234
208	0.2769888092
209	0.2769270883
210	0.2768751189
211	0.2768115822
212	0.2767423384
213	0.2766706927
214	0.2766065183
215	0.2764625201
216	0.2763887948
217	0.2763327625
218	0.2762909193
219	0.2762439803
220	0.2761643323
221	0.2760849848
222	0.2759914397
223	0.2759387945
224	0.2758636542
225	0.2758201571
226	0.2757274044
227	0.2757020024
228	0.2756228606
229	0.2755622831
230	0.275469997
231	0.2754192074
232	0.2753797854
233	0.2752928768
234	0.2752103831
235	0.2751471876
236	0.2750786014
237	0.2749717114
238	0.2749129121
239	0.2748534766
240	0.2748051718
241	0.2747440186
242	0.2746436626
243	0.274545543
244	0.2745130934
245	0.2744640746
246	0.2743916166
247	0.2743505033
248	0.274289855
249	0.2742234364
250	0.274113832
251	0.2739776776
252	0.2738922145
253	0.2738023441
254	0.2737399826
255	0.2737003268
256	0.2736571653
257	0.273601729
258	0.2735165437
259	0.2734866305
260	0.273439591
261	0.2733614253
262	0.2732808726
263	0.2731977796
264	0.2731275434
265	0.2730789675
266	0.2730158854
267	0.2729509453
0.273056346
269	0.2729902727
270	0.2729320132
271	0.2728658978
272	0.2727989347
273	0.2727186166
274	0.2726439944
275	0.2725620665
276	0.2725166941
277	0.2724402494
278	0.2723993074
279	0.2723423987
280	0.2723103508
281	0.2721836576
282	0.2721240379
283	0.2720585054
284	0.2719939407
285	0.2719171185
286	0.2718652318
287	0.2718151707
288	0.2717697797
289	0.2716396402
290	0.2715701364
291	0.2714971891
292	0.2714157166
293	0.2713308951
294	0.2712955271
295	0.2712607014
296	0.2712190393
297298	0.30011126298299	0.2999441299	300	0.2997638300	301	0.2995837301	302	0.2994201302	303	0.2992517303	304	0.2990991304	0.2997081613
305	0.2995426937
306	0.2993829589
307	0.2992420739
308	0.2990832911
30310	0.29821100031311	0.29804440431312	0.2978979431313	0.29774873631314	0.29760442731315	0.2974419713316	0.297298684
317	0.2971573374
318	0.2970587415
319	0.2969222106
320	0.2967857638
321	0.29668321	0.322	0.296543065
323	0.296413896
324	0.2962779324	325	0.2961347325	326	0.2959870147
327	0.2958540477
328	0.2957114296
329	0.2955889329	0329	0.296292330	0.2950397531
331	0.2949059124
332	0.2947682867
333	0.2946485394
334	0.2945047419
335	0.2943882572
245298
337	0.2690814904
338	0.2690254491
339	0.2689863482
340	0.268923735
341	0.2688568612
342	0.2688148007
343	0.2687709013
344	0.26862127
345	0.2685675918
346	0.2685189949
347	0.2684464996
348	0.268393824
349	0.2683386934
350	0.2682666901
351	0.2682009178
352	0.268126453
353	0.2680844578
354	0.2680538303
355	0.2680109213
356	0.2679021888
357	0.2678667735
358	0.2678093783
359	0.2677635272
360	0.2677169057
361	0.2676893086
362	0.2676233764
363	0.2675694156
364	0.267516749
365	0.2674451183
366	0.2673870119
367	0.2673388814
368	0.2672751729
369	0.2672129476
370	0.2671505796
371	0.2671168097
372	0.2670580343
373	0.2670270874
374	0.2669629765
375	0.2669065068
376	0.266862572
377	0.2668090504
378	0.2667440058
379	0.2666795543
380	0.2666298628
381	0.2665569107
382	0.266504676
383	0.2664621874
384	0.2663980075
385	0.2663210035
386	0.2662848925
387	0.2662465779
388	0.2661949656
389	0.2661504205
390	0.2660911421
391	0.2660195835
392	0.2659621576
393	0.2659242018
394	0.2658840088
395	0.2658174365
396	0.2657605612
397	0.2657066479
398	0.2656544744
399	0.2656107006
400	0.2655744921
401	0.2655287931
402	0.2654655446
403	0.2654009701
404	0.265321386
405	0.2652834768
406	0.2652471906
407	0.2651921207
408	0.2651102234
409	0.2650582675
410	0.2649840951
411	0.2649601462
412	0.2648895506
413	0.2648362863
414	0.2647575816
415	0.2647012059
416	0.2646474811
417	0.264579828
418	0.264543366
419	0.2644898641
420	0.264452003
421	0.2644054101
422	0.2643310815
423	0.2642861345
424	0.2642314621
425	0.2641578047
426	0.2640962324
427	0.2640662079
428	0.2640383324
429	0.2639735062
430	0.2639110308
431	0.2638438486
432	0.2637773932
433	0.2637147675
434	0.2636444277
435	0.2635701893
436	0.2635099469
437	0.2634667058
438	0.2633841744
439	0.2633000618
440	0.2632520219
441	0.2631730819
442	0.2631371209
443	0.263090288
444	0.2630515478
445	0.2630150684
